npi,specialty_description,total_claim_count,total_30_day_fill_count,total_drug_cost,total_day_supply,bene_count,brand_claim_count,brand_drug_cost,generic_claim_count,generic_drug_cost,opioid_claim_count,opioid_drug_cost,opioid_prescriber_rate,average_age_of_beneficiaries,beneficiary_female_count,beneficiary_male_count,beneficiary_race_white_count,beneficiary_race_black_count,beneficiary_race_asian_pi_count,beneficiary_race_hispanic_count,beneficiary_race_nat_ind_count,beneficiary_race_other_count,beneficiary_average_risk_score
1003010307,Family Practice,5795,11328.7,427122.0,331213,438.0,947.0,285228.49,4802.0,139446.75,77.0,1383.38,1.33,70.0,293.0,145.0,393.0,23.0,,,0.0,,0.99
1003010349,Family Practice,62,118.0,5964.12,3436,30.0,,,40.0,774.37,0.0,0.0,0.0,74.0,16.0,14.0,,,0.0,,0.0,0.0,1.5176
1003010570,Internal Medicine,289,416.1,15984.44,10309,103.0,,,238.0,5090.74,15.0,383.19,5.19,75.0,63.0,40.0,,0.0,,0.0,,,1.9280000000000002
1003010752,Internal Medicine,1012,2581.2,174042.13,77064,211.0,,,802.0,28691.42,,,,77.0,99.0,112.0,166.0,,,,0.0,0.0,2.7703
1003010950,Internal Medicine,5084,8573.4,324038.63,253434,269.0,849.0,239343.15,4197.0,82280.24,108.0,2092.34,2.12,75.0,197.0,72.0,193.0,,,54.0,,,1.2757
1003011214,Internal Medicine,7532,13010.3,617980.89,369437,401.0,1434.0,465238.28,6025.0,149539.08,503.0,9763.25,6.68,69.0,232.0,169.0,,250.0,,0.0,,,1.7924
1003011529,Family Practice,65,119.4,1857.2,3201,39.0,,,,,,,,73.0,26.0,13.0,,0.0,0.0,,0.0,,0.9618
1003011610,Internal Medicine,1679,3380.0,152451.27,98768,136.0,270.0,106615.18,1387.0,43590.13,39.0,2775.67,2.32,72.0,75.0,61.0,110.0,12.0,,,0.0,,1.189
1003012063,Internal Medicine,1799,2030.4,231756.4,58485,106.0,,,1420.0,21543.14,,,,66.0,48.0,58.0,0.0,,,,0.0,,4.1107
1003012204,Family Practice,227,246.4,23196.49,4907,87.0,,,176.0,10267.82,12.0,89.45,5.29,69.0,45.0,42.0,70.0,0.0,0.0,,,,2.184
1003012410,Family Practice,1152,2180.5,112032.22,62078,177.0,,,937.0,19679.44,47.0,1105.32,4.08,70.0,115.0,62.0,41.0,,35.0,78.0,0.0,,1.0764
1003012428,Family Practice,14394,20560.8,600820.1,577600,649.0,2238.0,403947.83,12075.0,193712.31,176.0,2558.19,1.22,66.0,370.0,279.0,627.0,,,,0.0,,1.3346
1003012436,Psychiatry,1268,1269.7,48816.82,36101,70.0,74.0,17098.11,1194.0,31718.71,0.0,0.0,0.0,52.0,49.0,21.0,31.0,,0.0,24.0,,0.0,1.2761
1003012451,Internal Medicine,157,161.9,3302.59,3364,78.0,17.0,1431.69,140.0,1870.9,16.0,277.38,10.19,71.0,48.0,30.0,51.0,,,,0.0,,2.1862
1003012634,Psychiatry,205,208.0,12397.8,5807,39.0,,,186.0,5586.26,,,,57.0,27.0,12.0,27.0,12.0,0.0,0.0,0.0,0.0,1.6322
1003012733,Internal Medicine,4006,4440.0,1297115.8,128607,134.0,1292.0,1233345.91,2653.0,62184.16,110.0,2486.42,2.75,61.0,69.0,65.0,62.0,20.0,,39.0,,,1.5659999999999998
1003012907,Family Practice,907,1867.3,96800.82,55171,90.0,151.0,72468.73,729.0,22878.44,25.0,473.98,2.76,66.0,46.0,44.0,24.0,,,42.0,0.0,,1.2241
1003012915,Psychiatry,2626,2942.6,213244.42,82888,146.0,276.0,115072.47,2350.0,98171.95,0.0,0.0,0.0,56.0,105.0,41.0,102.0,,,,0.0,,1.3574
1003012931,Internal Medicine,830,860.6,43481.62,17268,223.0,,,687.0,13707.91,78.0,1459.86,9.4,78.0,120.0,103.0,179.0,,,19.0,0.0,,1.9849
1003013004,Family Practice,285,612.3,15005.26,17379,118.0,,,231.0,4780.47,,,,71.0,78.0,40.0,,,,,,,1.3378
1003013160,Family Practice,4478,6946.2,213952.87,195640,186.0,810.0,127602.38,3657.0,85874.39,366.0,39333.86,8.17,74.0,105.0,81.0,172.0,,0.0,0.0,,,0.8958
1003013194,General Practice,422,424.0,4320.07,5242,256.0,30.0,962.08,392.0,3357.99,51.0,229.19,12.09,71.0,153.0,103.0,,,0.0,,0.0,0.0,1.7337
1003013368,Family Practice,22,22.0,239.02,418,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003013582,Family Practice,2930,4839.9,169053.49,142477,143.0,498.0,112203.88,2409.0,55938.92,34.0,2790.67,1.16,70.0,109.0,34.0,131.0,,,,0.0,,1.3529
1003013616,Neurology,2573,4512.6,473945.54,133325,417.0,256.0,281034.97,2317.0,192910.57,39.0,1373.11,1.52,73.0,193.0,224.0,391.0,13.0,0.0,,0.0,,1.595
1003013723,Internal Medicine,3977,6213.8,290190.81,176805,341.0,729.0,203692.17,3217.0,85468.25,271.0,24595.2,6.81,69.0,207.0,134.0,305.0,14.0,,,,,1.3834
1003013756,Family Practice,1973,2977.6,106318.2,80972,292.0,352.0,74571.97,1598.0,31057.54,108.0,3988.87,5.47,69.0,155.0,137.0,205.0,70.0,,,0.0,,1.5799
1003014374,Psychiatry,34,41.0,4239.57,1230,,12.0,4009.59,22.0,229.98,0.0,0.0,0.0,,,,,,,,,,
1003014457,Neurology,55,76.0,8084.21,1922,18.0,27.0,7260.8,28.0,823.41,0.0,0.0,0.0,72.0,,,,,,,0.0,0.0,1.5229
1003014549,Psychiatry,5663,6584.1,584127.89,194679,265.0,647.0,419295.32,5016.0,164832.57,0.0,0.0,0.0,58.0,137.0,128.0,167.0,64.0,,23.0,0.0,,1.485
1003014705,Internal Medicine,671,1014.5,201448.63,29398,146.0,332.0,195553.78,289.0,3130.7,0.0,0.0,0.0,65.0,88.0,58.0,124.0,,0.0,,0.0,,1.7946
1003014838,Family Practice,19,25.0,600.02,448,11.0,,,,,,,,68.0,,,,,0.0,,0.0,0.0,1.6862
1003015124,Family Practice,24,34.6,786.41,827,,,,,,,,,,,,,,,,,,
1003015314,Family Practice,4203,8967.3,323480.57,257170,321.0,718.0,245016.16,3468.0,77688.48,129.0,5078.3,3.07,73.0,214.0,107.0,,,0.0,,0.0,,1.0725
1003015454,Internal Medicine,5536,7760.7,328800.75,206165,380.0,1149.0,215943.18,4359.0,111592.47,187.0,10525.23,3.38,72.0,177.0,203.0,355.0,,0.0,,,,1.3102
1003015736,Internal Medicine,177,184.0,12573.31,3290,85.0,29.0,9258.76,148.0,3314.55,25.0,229.06,14.12,73.0,47.0,38.0,71.0,,0.0,,0.0,0.0,2.7559
1003016023,Internal Medicine,51,57.0,1110.8,1330,22.0,,,,,,,,73.0,,,,0.0,0.0,,0.0,0.0,2.2183
1003016270,Family Practice,4017,7041.3,317900.65,198464,348.0,816.0,249799.32,3147.0,66239.05,297.0,7482.96,7.39,71.0,195.0,153.0,303.0,,,20.0,0.0,,1.5187
1003016353,Internal Medicine,15,39.0,353.66,1117,,0.0,0.0,15.0,353.66,0.0,0.0,0.0,,,,,,,,,,
1003016643,Internal Medicine,299,518.5,40813.89,15180,74.0,,,247.0,3620.44,,,,67.0,52.0,22.0,15.0,,,43.0,0.0,,1.044
1003016809,Family Practice,5060,9061.8,263003.71,259741,489.0,807.0,197633.51,4228.0,64266.23,117.0,5764.62,2.31,72.0,261.0,228.0,409.0,,19.0,42.0,,,0.9761
1003017104,Psychiatry,136,139.0,10172.59,3591,35.0,33.0,6679.43,103.0,3493.16,,,,52.0,19.0,16.0,,,0.0,0.0,0.0,,1.6974
1003017112,Internal Medicine,449,576.0,36119.84,17121,43.0,103.0,31562.77,346.0,4557.07,0.0,0.0,0.0,68.0,22.0,21.0,,14.0,,18.0,0.0,,2.9533
1003017302,Psychiatry,39,55.0,393.28,1558,12.0,,,,,0.0,0.0,0.0,58.0,,,,,0.0,0.0,0.0,,2.8161
1003017369,Psychiatry,516,743.2,50857.07,22147,35.0,51.0,35495.59,465.0,15361.48,0.0,0.0,0.0,64.0,,,,,0.0,0.0,0.0,0.0,1.1113
1003017450,General Practice,66,70.7,1360.85,1804,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003017666,Internal Medicine,787,1269.7,27622.01,37261,134.0,,,644.0,8302.12,,,,71.0,59.0,75.0,116.0,,,,0.0,,1.9155
1003017906,Family Practice,4559,7688.9,224987.39,221716,297.0,685.0,149011.71,3860.0,75420.02,306.0,10376.84,6.71,70.0,159.0,138.0,205.0,,25.0,49.0,0.0,,1.2554
1003019043,Family Practice,178,196.5,8976.72,3908,75.0,32.0,5954.99,146.0,3021.73,16.0,114.0,8.99,75.0,42.0,33.0,,,0.0,,0.0,,2.1668
1003019340,Internal Medicine,3908,7628.4,154222.75,222266,264.0,596.0,88503.47,3293.0,64246.15,114.0,1737.28,2.92,73.0,210.0,54.0,228.0,,,,0.0,,1.0509
1003019423,Internal Medicine,322,322.0,9130.75,5794,149.0,,,267.0,3911.45,37.0,598.6,11.49,73.0,98.0,51.0,,,0.0,,0.0,,1.8076
1003019498,Neurology,248,470.0,61310.97,13882,61.0,82.0,54511.87,166.0,6799.1,,,,71.0,36.0,25.0,45.0,,,0.0,0.0,,1.9216
1003019811,Neurology,3291,5306.5,1275656.01,156577,510.0,474.0,1127561.45,2790.0,145807.79,77.0,1999.17,2.34,72.0,268.0,242.0,490.0,,,,0.0,,1.5514
1003019902,Neurology,508,987.5,92082.95,29541,106.0,129.0,69836.4,379.0,22246.55,0.0,0.0,0.0,75.0,60.0,46.0,,,0.0,,0.0,0.0,1.1865
1003020041,Family Practice,5935,10075.4,326990.08,287834,377.0,664.0,190478.52,5231.0,135180.39,297.0,18354.55,5.0,70.0,246.0,131.0,334.0,,,16.0,0.0,11.0,1.0004
1003020470,Internal Medicine,23,23.0,731.17,568,,0.0,0.0,23.0,731.17,,,,,,,,,,,,,
1003020496,Psychiatry,4107,4348.2,456510.6,111385,176.0,519.0,282478.08,3588.0,174032.52,0.0,0.0,0.0,61.0,119.0,57.0,165.0,,0.0,,0.0,,1.65
1003020504,Family Practice,538,563.4,50851.74,12432,149.0,,,393.0,7692.27,15.0,100.04,2.79,74.0,78.0,71.0,120.0,14.0,,,0.0,,2.8371
1003020975,Internal Medicine,1180,2486.9,76264.92,70774,180.0,287.0,52078.22,875.0,23778.6,76.0,5625.01,6.44,72.0,118.0,62.0,102.0,42.0,,18.0,0.0,,1.1514
1003021007,Internal Medicine,17,35.0,122.27,1025,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003021221,General Practice,70,74.8,2819.77,2014,,,,56.0,1146.82,16.0,659.05,22.86,,,,,,,,,,
1003021270,General Practice,165,167.3,2126.96,3824,53.0,,,150.0,1351.12,11.0,98.65,6.67,68.0,31.0,22.0,0.0,0.0,0.0,53.0,0.0,0.0,1.4922
1003021387,Internal Medicine,57,71.8,25042.27,1713,19.0,12.0,5946.26,45.0,19096.01,,,,58.0,,,,,0.0,0.0,0.0,,3.2244
1003022013,Neurology,408,528.0,50496.86,15299,84.0,,,349.0,12333.58,,,,69.0,46.0,38.0,59.0,,,12.0,0.0,,3.0916
1003022112,Family Practice,892,1517.2,41377.0,43318,165.0,179.0,27471.82,698.0,13427.98,20.0,207.4,2.24,72.0,125.0,40.0,138.0,,11.0,,0.0,,1.0295
1003022682,Internal Medicine,577,1074.3,30105.52,27836,238.0,,,448.0,8116.48,11.0,84.38,1.91,74.0,112.0,126.0,127.0,,,94.0,,,1.8283
1003022898,Family Practice,1191,1764.6,61194.81,51309,94.0,,,1020.0,20649.06,15.0,184.52,1.26,75.0,59.0,35.0,81.0,0.0,,,0.0,,1.2066
1003023060,Psychiatry,66,76.0,15441.57,2215,17.0,12.0,4582.08,54.0,10859.49,0.0,0.0,0.0,53.0,,,,,,0.0,0.0,,1.4616
1003023201,Neurology,840,981.7,773226.64,27315,116.0,156.0,756714.95,684.0,16511.69,39.0,10539.33,4.64,59.0,80.0,36.0,62.0,,0.0,,,,1.4717
1003023581,Neurology,2402,3781.2,379437.71,111555,355.0,,,1882.0,49963.15,,,,72.0,150.0,205.0,271.0,45.0,,25.0,0.0,,3.5448
1003023706,Family Practice,668,1529.7,54645.9,44377,77.0,,,570.0,16533.62,,,,73.0,50.0,27.0,,,48.0,,0.0,,0.8982
1003024175,Internal Medicine,94,98.3,1815.23,1994,29.0,,,72.0,773.2,,,,82.0,,,,,,,0.0,0.0,2.02
1003025271,Internal Medicine,1542,3146.2,91286.5,90022,144.0,273.0,60969.14,1254.0,29936.16,84.0,1184.75,5.45,69.0,94.0,50.0,42.0,,79.0,,0.0,,1.0658
1003025347,Family Practice,16825,19252.4,782549.37,469648,668.0,2810.0,588903.54,13900.0,190642.06,666.0,4578.66,3.96,68.0,411.0,257.0,418.0,,,,0.0,,1.4354
1003025438,Family Practice,746,879.3,35910.22,25737,36.0,,,654.0,6262.72,,,,68.0,,,,,14.0,,0.0,,0.9298
1003025461,Internal Medicine,950,1037.2,367499.24,27305,142.0,610.0,360425.24,,,,,,69.0,84.0,58.0,69.0,44.0,,,0.0,,2.3253
1003026238,Internal Medicine,241,502.2,12405.16,14832,53.0,32.0,4377.7,209.0,8027.46,,,,75.0,21.0,32.0,26.0,,0.0,0.0,0.0,,1.2559
1003026345,Internal Medicine,36,36.0,18265.55,888,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003026410,Internal Medicine,4131,8219.5,377075.63,235936,286.0,963.0,294162.11,3131.0,81345.25,77.0,701.05,1.86,74.0,215.0,71.0,206.0,37.0,,21.0,,,1.2056
1003026469,Internal Medicine,23,23.0,1177.57,319,17.0,,,,,,,,69.0,,,,,0.0,,0.0,,1.7859
1003027194,Internal Medicine,3369,5334.2,1588645.33,157003,253.0,1713.0,1537017.17,1045.0,17530.95,0.0,0.0,0.0,65.0,135.0,118.0,,0.0,,,0.0,,1.9558
1003027483,Internal Medicine,3535,5468.2,271647.75,160680,195.0,651.0,212613.18,2839.0,57112.68,55.0,718.84,1.56,71.0,140.0,55.0,94.0,84.0,,,0.0,,1.2422
1003027558,Internal Medicine,1183,3416.2,82449.53,102108,290.0,410.0,55368.74,773.0,27080.79,,,,77.0,152.0,138.0,114.0,124.0,,26.0,,,1.6003
1003027939,Family Practice,11491,14718.0,483252.34,413986,459.0,2085.0,349598.43,9327.0,130836.81,447.0,15996.39,3.89,74.0,245.0,214.0,,,0.0,,0.0,,1.3093
1003028143,Family Practice,7663,8683.8,665743.38,250084,239.0,1412.0,353628.14,6097.0,306124.11,694.0,34568.57,9.06,68.0,126.0,113.0,43.0,137.0,,34.0,,,1.9512
1003028150,Family Practice,3405,5374.6,234499.88,154306,218.0,635.0,164809.76,2741.0,68680.25,287.0,33942.33,8.43,68.0,162.0,56.0,203.0,,,,0.0,,1.0329
1003028556,Neurology,2324,3047.9,1036419.03,88435,232.0,307.0,963386.73,2017.0,73032.3,27.0,1243.39,1.16,73.0,134.0,98.0,184.0,,,36.0,0.0,,1.5557
1003028705,Family Practice,1961,2609.5,121722.15,70734,487.0,515.0,98590.17,1420.0,22261.49,106.0,2988.44,5.41,71.0,330.0,157.0,458.0,0.0,,,,,1.2675
1003029299,Internal Medicine,122,184.6,3994.17,4742,46.0,24.0,1670.22,98.0,2323.95,,,,75.0,31.0,15.0,29.0,,0.0,,,,2.7796
1003029539,General Practice,15,15.0,536.69,237,,,,,,,,,,,,,,,,,,
1003029562,Internal Medicine,151,207.3,9578.28,5455,66.0,,,124.0,3178.0,50.0,3186.59,33.11,67.0,43.0,23.0,48.0,,0.0,,0.0,,2.8005
1003030347,General Practice,1029,1779.8,37339.37,52452,69.0,,,917.0,15945.01,,,,68.0,40.0,29.0,,56.0,0.0,,0.0,,1.1777
1003030651,Family Practice,2347,2953.7,142402.34,82671,218.0,,,1870.0,36827.33,172.0,5897.21,7.33,70.0,151.0,67.0,,,,,0.0,0.0,1.2831
1003030750,Internal Medicine,169,177.5,5046.69,4487,63.0,21.0,2240.59,148.0,2806.1,,,,75.0,31.0,32.0,52.0,,0.0,,0.0,,2.6524
1003032111,Neurology,352,379.5,26704.54,11090,57.0,106.0,24313.92,246.0,2390.62,,,,65.0,31.0,26.0,,,,,0.0,0.0,2.0454
1003032350,Internal Medicine,59,61.4,2462.98,1170,21.0,,,42.0,726.65,,,,71.0,,,,,,,0.0,,2.5796
1003032467,Psychiatry,323,365.0,13288.07,10240,39.0,26.0,613.28,297.0,12674.79,11.0,417.76,3.41,71.0,26.0,13.0,,0.0,0.0,,0.0,,0.8188
1003032574,Internal Medicine,78,97.8,1571.55,2040,30.0,17.0,801.25,61.0,770.3,,,,74.0,,,,0.0,,,0.0,,2.8702
1003033051,Family Practice,103,103.0,2343.41,1016,69.0,11.0,1268.95,92.0,1074.46,20.0,166.99,19.42,75.0,41.0,28.0,58.0,,0.0,,0.0,,1.3027
1003033135,Family Practice,1913,2295.9,95186.5,55988,254.0,,,1589.0,31445.05,125.0,2696.45,6.53,73.0,152.0,102.0,232.0,,0.0,,0.0,0.0,1.6272
1003034281,Family Practice,9436,15484.3,758793.79,456111,487.0,1827.0,564702.65,7522.0,191438.02,310.0,7777.37,3.29,68.0,317.0,170.0,,0.0,0.0,,0.0,,1.3585
1003034455,Internal Medicine,252,263.5,10734.87,6020,101.0,39.0,7833.04,213.0,2901.83,14.0,279.16,5.56,74.0,58.0,43.0,89.0,,0.0,,0.0,,2.247
1003034851,Family Practice,12157,21720.6,969651.1,633607,616.0,2189.0,741309.65,9793.0,222342.77,512.0,24240.76,4.21,74.0,417.0,199.0,603.0,,,,,,1.1559
1003035122,Family Practice,309,434.0,17531.53,12334,86.0,,,255.0,4486.29,,,,70.0,63.0,23.0,42.0,26.0,,,0.0,,1.1753
1003036104,Internal Medicine,21,33.3,234.75,980,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003036252,Family Practice,30,68.0,230.03,2015,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003036278,Family Practice,2766,5265.2,169178.4,153298,243.0,,,2363.0,58183.06,13.0,120.85,0.47,69.0,172.0,71.0,189.0,26.0,,17.0,0.0,,1.068
1003036377,Family Practice,29,30.5,3070.52,869,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003036526,General Practice,13,27.6,398.05,823,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003036740,Internal Medicine,14,14.1,975.76,423,,,,,,0.0,0.0,0.0,,,,,,,,,,
1003036880,Psychiatry,3446,4088.0,290283.72,121600,295.0,418.0,178787.32,2994.0,106714.32,,,,70.0,202.0,93.0,77.0,,,204.0,0.0,,1.7851
1003037037,Family Practice,144,163.0,24441.88,3837,25.0,68.0,19587.12,76.0,4854.76,0.0,0.0,0.0,58.0,,,,,0.0,0.0,0.0,,1.6333
1003037052,Family Practice,406,418.7,13605.9,5995,166.0,46.0,7156.43,360.0,6449.47,12.0,78.6,2.96,72.0,92.0,74.0,,,,,0.0,,0.7781
1003037417,Internal Medicine,8248,16340.6,575394.29,477952,592.0,1197.0,369811.35,6997.0,202463.19,340.0,15498.58,4.12,74.0,350.0,242.0,537.0,32.0,,,0.0,,1.0755
